,Position,Height(inches),Weight(pounds),Age
128,Relief_Pitcher,78,210.0,23.29
129,Relief_Pitcher,73,194.0,31.18
130,Relief_Pitcher,73,180.0,26.56
131,Relief_Pitcher,74,190.0,25.03
132,Relief_Pitcher,75,240.0,35.66
133,Relief_Pitcher,76,200.0,29.64
134,Relief_Pitcher,71,198.0,30.74
135,Relief_Pitcher,73,200.0,28.43
136,Relief_Pitcher,74,195.0,33.77
137,Relief_Pitcher,76,210.0,40.97
138,Relief_Pitcher,76,220.0,23.52
139,Catcher,74,190.0,28.19
140,Catcher,73,210.0,26.84
141,First_Baseman,74,225.0,26.16
142,Second_Baseman,70,180.0,28.67
143,Second_Baseman,72,185.0,24.2
144,Second_Baseman,73,170.0,27.08
145,Shortstop,73,185.0,24.76
146,Third_Baseman,73,185.0,23.36
147,Outfielder,73,180.0,25.35
148,Outfielder,71,178.0,24.63
149,Outfielder,74,175.0,24.02
150,Outfielder,74,200.0,24.58
151,Outfielder,72,204.0,30.82
152,Outfielder,74,211.0,32.89
153,Outfielder,71,190.0,33.33
154,Outfielder,74,210.0,33.52
155,Designated_Hitter,75,240.0,29.74
156,Starting_Pitcher,73,190.0,36.24
157,Starting_Pitcher,75,190.0,28.5
158,Starting_Pitcher,75,185.0,29.42
159,Starting_Pitcher,79,290.0,26.61
160,Starting_Pitcher,73,175.0,23.79
161,Relief_Pitcher,75,185.0,24.96
162,Relief_Pitcher,76,200.0,25.93
163,Relief_Pitcher,74,220.0,22.81
164,Relief_Pitcher,76,170.0,25.29
165,Relief_Pitcher,78,220.0,26.07
166,Relief_Pitcher,74,190.0,26.09
167,Relief_Pitcher,76,220.0,23.23
168,Relief_Pitcher,72,205.0,33.49
169,Relief_Pitcher,74,200.0,31.84
170,Relief_Pitcher,76,250.0,42.3
171,Relief_Pitcher,74,225.0,35.82
172,Relief_Pitcher,75,215.0,35.27
173,Relief_Pitcher,78,210.0,26.81
174,Catcher,75,215.0,38.49
175,Catcher,72,195.0,32.68
176,Catcher,74,200.0,34.93
177,First_Baseman,72,194.0,26.26
178,First_Baseman,74,220.0,27.56
179,Second_Baseman,70,180.0,23.98
180,Second_Baseman,71,180.0,29.73
181,Shortstop,70,170.0,31.33
182,Shortstop,75,195.0,27.13
183,Shortstop,71,180.0,26.75
184,Third_Baseman,71,170.0,27.09
185,Third_Baseman,73,206.0,29.23
186,Outfielder,72,205.0,28.88
187,Outfielder,71,200.0,33.01
188,Outfielder,73,225.0,30.57
189,Outfielder,72,201.0,31.24
190,Outfielder,75,225.0,24.95
191,Designated_Hitter,70,226.0,27.35
192,Starting_Pitcher,74,233.0,24.62
193,Starting_Pitcher,74,180.0,24.98
194,Starting_Pitcher,75,225.0,26.22
195,Starting_Pitcher,73,180.0,26.04
196,Starting_Pitcher,77,220.0,26.45
197,Starting_Pitcher,73,180.0,25.25
198,Starting_Pitcher,76,237.0,27.77
199,Starting_Pitcher,75,215.0,35.16
200,Relief_Pitcher,74,190.0,37.1
201,Relief_Pitcher,76,235.0,34.51
202,Relief_Pitcher,75,190.0,29.28
203,Relief_Pitcher,73,180.0,32.14
204,Relief_Pitcher,71,165.0,23.94
205,Relief_Pitcher,76,195.0,27.45
206,Relief_Pitcher,75,200.0,28.77
207,Relief_Pitcher,72,190.0,23.58
208,Relief_Pitcher,71,190.0,27.56
209,Relief_Pitcher,77,185.0,24.01
210,Relief_Pitcher,73,185.0,26.52
211,Catcher,74,205.0,35.54
212,Catcher,71,190.0,29.43
213,First_Baseman,72,205.0,29.9
214,First_Baseman,74,206.0,32.7
215,First_Baseman,75,220.0,28.8
216,Second_Baseman,73,208.0,32.82
217,Second_Baseman,72,170.0,24.36
218,Shortstop,75,195.0,32.68
219,Third_Baseman,75,210.0,31.59
220,Outfielder,74,190.0,33.32
221,Outfielder,72,211.0,32.97
222,Outfielder,74,230.0,32.72
223,Outfielder,71,170.0,22.55
224,Outfielder,70,185.0,27.45
225,Designated_Hitter,75,230.0,36.14
226,Starting_Pitcher,74,185.0,38.23
227,Starting_Pitcher,77,241.0,31.14
228,Starting_Pitcher,77,225.0,34.71
229,Starting_Pitcher,75,210.0,26.13
230,Starting_Pitcher,75,175.0,24.43
231,Starting_Pitcher,78,230.0,23.76
232,Starting_Pitcher,75,200.0,26.92
233,Relief_Pitcher,76,215.0,25.85
234,Relief_Pitcher,73,198.0,30.16
235,Relief_Pitcher,75,226.0,25.03
236,Relief_Pitcher,75,278.0,24.21
237,Relief_Pitcher,79,215.0,26.51
238,Relief_Pitcher,77,230.0,26.36
239,Relief_Pitcher,76,240.0,30.88
240,Relief_Pitcher,71,184.0,32.57
241,Relief_Pitcher,75,219.0,37.68
242,Relief_Pitcher,74,170.0,37.25
243,Catcher,69,218.0,35.25
244,Catcher,71,190.0,33.95
245,First_Baseman,76,225.0,32.66
246,First_Baseman,72,220.0,26.68
247,Second_Baseman,72,176.0,25.18
248,Second_Baseman,70,190.0,31.39
249,Second_Baseman,72,197.0,33.74
250,Shortstop,73,204.0,31.42
251,Shortstop,71,167.0,27.5
252,Shortstop,72,180.0,24.25
253,Third_Baseman,71,195.0,29.78
254,Outfielder,73,220.0,30.0
255,Outfielder,72,215.0,33.09
256,Outfielder,73,185.0,25.96
257,Outfielder,74,190.0,23.34
258,Outfielder,74,205.0,29.98
259,Outfielder,72,205.0,38.28
260,Designated_Hitter,73,200.0,27.12
261,Starting_Pitcher,75,200.0,24.97
262,Starting_Pitcher,74,210.0,24.34
263,Starting_Pitcher,74,215.0,29.49
264,Starting_Pitcher,77,200.0,24.02
265,Starting_Pitcher,75,205.0,24.73
266,Starting_Pitcher,73,211.0,42.3
267,Starting_Pitcher,72,190.0,29.54
268,Relief_Pitcher,71,208.0,29.95
269,Relief_Pitcher,74,200.0,29.24
270,Relief_Pitcher,77,210.0,30.3
271,Relief_Pitcher,75,232.0,40.77
272,Relief_Pitcher,75,230.0,38.85
273,Relief_Pitcher,75,210.0,22.31
274,Relief_Pitcher,78,220.0,25.44
275,Relief_Pitcher,78,210.0,21.78
276,Relief_Pitcher,74,202.0,22.64
277,Relief_Pitcher,76,212.0,26.11
278,Relief_Pitcher,78,225.0,27.55
279,Relief_Pitcher,76,170.0,24.63
280,Catcher,70,190.0,23.58
281,Catcher,72,200.0,30.73
282,First_Baseman,80,237.0,32.17
283,First_Baseman,74,220.0,30.43
284,Second_Baseman,74,170.0,23.27
285,Second_Baseman,71,193.0,32.51
286,Shortstop,70,190.0,25.08
287,Shortstop,72,150.0,22.41
288,Third_Baseman,71,220.0,27.9
289,Outfielder,74,200.0,34.74
290,Outfielder,71,190.0,30.79
291,Outfielder,72,185.0,25.71
292,Outfielder,71,185.0,29.26
293,Outfielder,74,200.0,21.58
294,Outfielder,69,172.0,33.36
295,Outfielder,76,220.0,24.94
296,Starting_Pitcher,75,225.0,20.9
297,Starting_Pitcher,75,190.0,21.52
298,Starting_Pitcher,76,195.0,25.85
299,Starting_Pitcher,73,219.0,27.27
300,Starting_Pitcher,76,190.0,26.75
301,Starting_Pitcher,73,197.0,36.03
302,Starting_Pitcher,77,200.0,30.52
303,Starting_Pitcher,73,195.0,32.55
304,Relief_Pitcher,72,210.0,29.86
305,Relief_Pitcher,72,177.0,29.58
306,Relief_Pitcher,77,220.0,30.02
307,Relief_Pitcher,77,235.0,29.16
308,Relief_Pitcher,71,180.0,22.3
309,Relief_Pitcher,74,195.0,22.06
310,Relief_Pitcher,74,195.0,25.65
311,Relief_Pitcher,73,190.0,25.49
312,Relief_Pitcher,78,230.0,27.86
313,Relief_Pitcher,75,190.0,23.73
314,Catcher,73,200.0,31.78
315,Catcher,70,190.0,23.06
316,Catcher,74,190.0,26.6
317,First_Baseman,72,200.0,29.39
318,Second_Baseman,73,200.0,26.51
319,Second_Baseman,73,184.0,25.08
320,Shortstop,75,200.0,25.76
321,Third_Baseman,75,180.0,22.52
322,Outfielder,74,219.0,25.57
323,Outfielder,76,187.0,25.43
324,Outfielder,73,200.0,34.65
325,Outfielder,74,220.0,22.68
326,Outfielder,75,205.0,21.46
327,Designated_Hitter,73,205.0,26.27
328,Starting_Pitcher,75,190.0,23.47
329,Starting_Pitcher,72,170.0,23.1
330,Starting_Pitcher,73,160.0,29.14
331,Starting_Pitcher,73,215.0,29.77
332,Starting_Pitcher,72,175.0,23.85
333,Starting_Pitcher,74,205.0,28.88
334,Starting_Pitcher,78,200.0,24.49
335,Starting_Pitcher,76,214.0,25.19
336,Starting_Pitcher,73,200.0,27.48
337,Relief_Pitcher,74,190.0,28.31
338,Relief_Pitcher,75,180.0,26.54
339,Relief_Pitcher,70,205.0,26.77
340,Relief_Pitcher,75,220.0,23.75
341,Relief_Pitcher,71,190.0,26.41
342,Relief_Pitcher,72,215.0,36.47
343,Relief_Pitcher,78,235.0,26.06
344,Relief_Pitcher,75,191.0,27.55
345,Relief_Pitcher,73,200.0,31.28
346,Relief_Pitcher,73,181.0,29.04
347,Catcher,71,200.0,32.95
348,Catcher,75,210.0,26.65
349,First_Baseman,77,240.0,27.5
350,First_Baseman,72,185.0,30.9
351,Second_Baseman,69,165.0,29.09
352,Second_Baseman,73,190.0,36.67
353,Second_Baseman,74,185.0,23.44
354,Shortstop,72,175.0,29.09
355,Shortstop,70,155.0,22.89
356,Third_Baseman,75,210.0,25.48
357,Outfielder,70,170.0,25.84
358,Outfielder,72,175.0,27.2
359,Outfielder,72,220.0,25.22
360,Outfielder,74,210.0,24.67
361,Outfielder,73,205.0,39.25
362,Outfielder,74,200.0,32.17
363,Designated_Hitter,75,225.0,33.61
364,Starting_Pitcher,76,205.0,32.77
365,Starting_Pitcher,75,195.0,29.83
366,Starting_Pitcher,80,240.0,31.02
367,Starting_Pitcher,72,150.0,29.73
368,Starting_Pitcher,75,200.0,28.48
369,Starting_Pitcher,73,215.0,26.51
370,Starting_Pitcher,74,202.0,26.0
371,Starting_Pitcher,74,200.0,23.36
372,Starting_Pitcher,73,190.0,25.9
373,Relief_Pitcher,75,205.0,28.5
374,Relief_Pitcher,75,190.0,25.62
375,Relief_Pitcher,71,160.0,30.94
376,Relief_Pitcher,73,215.0,26.59
377,Relief_Pitcher,75,185.0,22.78
378,Relief_Pitcher,74,200.0,32.26
379,Relief_Pitcher,74,190.0,30.35
380,Relief_Pitcher,72,210.0,33.26
381,Relief_Pitcher,74,185.0,32.35
382,Catcher,74,220.0,27.3
383,Catcher,74,190.0,32.08
384,Catcher,73,202.0,25.25
385,Catcher,76,205.0,25.03
386,First_Baseman,75,220.0,26.89
387,Second_Baseman,72,175.0,24.69
388,Shortstop,73,160.0,22.44
389,Shortstop,73,190.0,30.36
390,Third_Baseman,73,200.0,26.27
391,Outfielder,72,229.0,29.5
392,Outfielder,72,206.0,29.75
393,Outfielder,72,220.0,38.3
394,Outfielder,72,180.0,39.75
395,Outfielder,71,195.0,32.84
396,Outfielder,75,175.0,26.66
397,Designated_Hitter,77,250.0,26.6
398,Starting_Pitcher,75,188.0,24.94
399,Starting_Pitcher,74,230.0,27.76
400,Starting_Pitcher,73,190.0,23.66
401,Starting_Pitcher,75,200.0,24.96
402,Starting_Pitcher,79,190.0,23.65
403,Starting_Pitcher,74,219.0,29.42
404,Starting_Pitcher,76,235.0,32.18
405,Starting_Pitcher,73,180.0,26.66
406,Relief_Pitcher,74,180.0,27.47
407,Relief_Pitcher,74,180.0,25.66
408,Relief_Pitcher,72,200.0,35.13
409,Relief_Pitcher,74,234.0,31.15
410,Relief_Pitcher,74,185.0,35.67
411,Relief_Pitcher,75,220.0,29.6
412,Relief_Pitcher,78,223.0,30.14
413,Relief_Pitcher,74,200.0,24.53
414,Relief_Pitcher,74,210.0,24.49
415,Relief_Pitcher,74,200.0,26.28
416,Relief_Pitcher,77,210.0,24.06
417,Catcher,70,190.0,35.88
418,Catcher,73,177.0,30.42
419,First_Baseman,74,227.0,30.09
420,Second_Baseman,73,180.0,26.5
421,Second_Baseman,71,195.0,24.94
422,Second_Baseman,75,199.0,29.6
423,Shortstop,71,175.0,32.43
424,Shortstop,72,185.0,37.16
425,Third_Baseman,77,240.0,30.57
426,Third_Baseman,74,210.0,27.01
427,Outfielder,70,180.0,30.23
428,Outfielder,77,194.0,26.03
429,Outfielder,73,225.0,28.23
430,Designated_Hitter,77,275.0,38.76
431,Designated_Hitter,74,195.0,23.62
432,Starting_Pitcher,72,180.0,25.21
433,Starting_Pitcher,76,205.0,25.45
434,Starting_Pitcher,71,193.0,26.24
435,Starting_Pitcher,76,230.0,30.15
436,Starting_Pitcher,78,230.0,29.8
437,Starting_Pitcher,75,220.0,33.41
438,Starting_Pitcher,73,200.0,30.95
439,Relief_Pitcher,78,249.0,31.17
440,Relief_Pitcher,74,190.0,30.95
441,Relief_Pitcher,79,208.0,29.44
442,Relief_Pitcher,75,245.0,27.14
443,Relief_Pitcher,76,250.0,26.21
444,Relief_Pitcher,72,160.0,24.08
445,Relief_Pitcher,75,192.0,23.96
446,Relief_Pitcher,75,220.0,24.94
447,Relief_Pitcher,70,170.0,29.56
448,Relief_Pitcher,72,197.0,26.42
449,Relief_Pitcher,70,155.0,23.92
450,Relief_Pitcher,74,190.0,25.23
451,Catcher,71,200.0,35.82
452,Catcher,76,220.0,23.87
453,Catcher,73,210.0,32.57
454,First_Baseman,76,228.0,25.79
455,Second_Baseman,71,190.0,31.47
456,Second_Baseman,69,160.0,22.61
457,Second_Baseman,72,184.0,24.85
458,Shortstop,72,180.0,27.33
459,Third_Baseman,69,180.0,26.67
460,Third_Baseman,73,200.0,37.43
461,Third_Baseman,69,176.0,29.31
462,Outfielder,73,160.0,29.85
463,Outfielder,74,222.0,27.93
464,Outfielder,74,211.0,31.62
465,Outfielder,72,195.0,30.55
466,Outfielder,71,200.0,24.77
467,Designated_Hitter,74,210.0,28.38
468,Designated_Hitter,73,225.0,35.02
469,Starting_Pitcher,72,175.0,33.77
470,Starting_Pitcher,72,206.0,27.97
471,Starting_Pitcher,76,240.0,27.85
472,Starting_Pitcher,76,185.0,23.26
473,Starting_Pitcher,76,260.0,25.38
474,Starting_Pitcher,74,185.0,23.35
475,Starting_Pitcher,76,221.0,25.45
476,Relief_Pitcher,75,205.0,26.49
477,Relief_Pitcher,71,200.0,24.0
478,Relief_Pitcher,72,170.0,24.16
479,Relief_Pitcher,71,201.0,28.1
480,Relief_Pitcher,73,205.0,25.65
481,Relief_Pitcher,75,185.0,28.58
482,Relief_Pitcher,76,205.0,32.27
483,Relief_Pitcher,75,245.0,29.86
484,Catcher,71,220.0,25.14
485,Catcher,75,210.0,23.03
486,First_Baseman,74,220.0,30.25
487,Second_Baseman,72,185.0,30.67
488,Second_Baseman,73,175.0,27.73
489,Second_Baseman,73,170.0,23.34
490,Shortstop,73,180.0,25.94
491,Shortstop,73,200.0,31.56
492,Third_Baseman,76,210.0,34.85
493,Third_Baseman,72,175.0,23.98
494,Outfielder,76,220.0,23.14
495,Outfielder,73,206.0,28.99
496,Outfielder,73,180.0,25.02
497,Outfielder,73,210.0,29.85
498,Outfielder,75,195.0,27.03
499,Outfielder,75,200.0,25.15
500,Outfielder,77,200.0,27.12
501,Starting_Pitcher,73,164.0,31.63
502,Starting_Pitcher,72,180.0,32.62
503,Starting_Pitcher,75,220.0,39.79
504,Starting_Pitcher,70,195.0,34.47
505,Starting_Pitcher,74,205.0,23.47
506,Starting_Pitcher,72,170.0,25.31
507,Relief_Pitcher,80,240.0,27.1
508,Relief_Pitcher,71,210.0,24.35
509,Relief_Pitcher,71,195.0,23.45
510,Relief_Pitcher,74,200.0,28.24
511,Relief_Pitcher,74,205.0,28.77
512,Relief_Pitcher,73,192.0,26.53
513,Relief_Pitcher,75,190.0,25.64
514,Relief_Pitcher,76,170.0,25.83
515,Relief_Pitcher,73,240.0,38.06
516,Relief_Pitcher,77,200.0,36.38
517,Relief_Pitcher,72,205.0,25.27
518,Relief_Pitcher,73,175.0,27.2
519,Relief_Pitcher,77,250.0,31.59
520,Relief_Pitcher,76,220.0,29.56
521,Catcher,71,224.0,35.5
522,Catcher,75,210.0,30.35
523,Catcher,73,195.0,24.11
524,First_Baseman,74,180.0,23.29
525,First_Baseman,77,245.0,31.48
526,Second_Baseman,71,175.0,27.23
527,Shortstop,72,180.0,24.07
528,Third_Baseman,73,215.0,28.68
529,Third_Baseman,69,175.0,27.05
530,Outfielder,73,180.0,31.15
531,Outfielder,70,195.0,31.85
532,Outfielder,74,230.0,31.68
533,Outfielder,76,230.0,34.23
534,Outfielder,73,205.0,32.01
535,Outfielder,73,215.0,25.41
536,Outfielder,75,195.0,24.73
537,Outfielder,73,180.0,25.66
538,Starting_Pitcher,79,205.0,24.5
539,Starting_Pitcher,74,180.0,24.38
540,Starting_Pitcher,73,190.0,26.89
541,Starting_Pitcher,74,180.0,24.2
542,Starting_Pitcher,77,190.0,26.97
543,Starting_Pitcher,75,190.0,25.21
544,Starting_Pitcher,74,220.0,30.46
545,Starting_Pitcher,73,210.0,28.53
546,Starting_Pitcher,77,255.0,25.75
547,Starting_Pitcher,73,190.0,31.15
548,Starting_Pitcher,77,230.0,26.48
549,Relief_Pitcher,74,200.0,26.93
550,Relief_Pitcher,74,205.0,29.55
551,Relief_Pitcher,73,210.0,34.75
552,Relief_Pitcher,77,225.0,29.71
553,Relief_Pitcher,74,215.0,29.83
554,Relief_Pitcher,77,220.0,33.57
555,Relief_Pitcher,75,205.0,28.21
556,Relief_Pitcher,77,200.0,27.54
557,Catcher,75,220.0,26.05
558,Catcher,71,197.0,23.64
559,First_Baseman,74,225.0,24.82
560,First_Baseman,70,187.0,29.8
561,First_Baseman,79,245.0,34.71
562,Second_Baseman,72,185.0,29.22
563,Shortstop,72,185.0,23.96
564,Shortstop,70,175.0,23.87
565,Third_Baseman,74,200.0,26.77
566,Outfielder,74,180.0,23.49
567,Outfielder,72,188.0,26.77
568,Outfielder,73,225.0,24.51
569,Outfielder,72,200.0,33.23
570,Outfielder,74,210.0,31.04
571,Starting_Pitcher,74,245.0,32.02
572,Starting_Pitcher,76,213.0,31.44
573,Starting_Pitcher,82,231.0,43.47
574,Starting_Pitcher,74,165.0,28.38
575,Starting_Pitcher,74,228.0,27.81
576,Starting_Pitcher,70,210.0,24.57
577,Starting_Pitcher,73,250.0,23.34
578,Relief_Pitcher,73,191.0,27.09
579,Relief_Pitcher,74,190.0,25.14
580,Relief_Pitcher,77,200.0,27.07
581,Relief_Pitcher,72,215.0,24.02
582,Relief_Pitcher,76,254.0,27.6
583,Relief_Pitcher,73,232.0,27.99
584,Relief_Pitcher,73,180.0,27.56
585,Catcher,72,215.0,28.63
586,Catcher,74,220.0,30.99
587,First_Baseman,74,180.0,26.33
588,Second_Baseman,71,200.0,26.97
589,Shortstop,72,170.0,22.85
590,Shortstop,75,195.0,23.19
591,Third_Baseman,74,210.0,23.87
592,Third_Baseman,74,200.0,33.98
593,Outfielder,77,220.0,28.26
594,Outfielder,70,165.0,29.12
595,Outfielder,71,180.0,26.18
596,Outfielder,73,200.0,28.03
597,Outfielder,76,200.0,23.08
598,Outfielder,71,170.0,26.24
599,Outfielder,75,224.0,26.63
600,Starting_Pitcher,74,220.0,24.21
601,Starting_Pitcher,72,180.0,23.01
602,Starting_Pitcher,76,198.0,23.13
603,Starting_Pitcher,79,240.0,23.08
604,Starting_Pitcher,76,239.0,25.13
605,Relief_Pitcher,73,185.0,24.66
606,Relief_Pitcher,76,210.0,26.03
607,Relief_Pitcher,78,220.0,28.7
608,Relief_Pitcher,75,200.0,25.57
609,Relief_Pitcher,76,195.0,24.65
610,Relief_Pitcher,72,220.0,25.55
611,Relief_Pitcher,72,230.0,22.27
612,Relief_Pitcher,73,170.0,24.76
613,Relief_Pitcher,73,220.0,23.98
614,Relief_Pitcher,75,230.0,27.85
615,Relief_Pitcher,71,165.0,22.14
616,Relief_Pitcher,76,205.0,27.05
617,Catcher,70,192.0,31.45
618,Catcher,75,210.0,32.03
619,Catcher,74,205.0,29.95
620,First_Baseman,75,200.0,23.47
621,First_Baseman,73,210.0,37.21
622,Second_Baseman,71,185.0,25.67
623,Shortstop,71,195.0,34.69
624,Shortstop,72,202.0,30.04
625,Third_Baseman,73,205.0,32.52
626,Third_Baseman,73,195.0,24.15
627,Third_Baseman,72,180.0,26.86
628,Outfielder,69,200.0,27.94
629,Outfielder,73,185.0,26.63
630,Outfielder,78,240.0,27.31
631,Outfielder,71,185.0,30.55
632,Outfielder,73,220.0,40.68
633,Outfielder,75,205.0,37.27
634,Outfielder,76,205.0,25.78
635,Outfielder,70,180.0,30.98
636,Starting_Pitcher,74,201.0,28.41
637,Starting_Pitcher,77,190.0,30.01
638,Starting_Pitcher,75,208.0,31.57
639,Starting_Pitcher,79,240.0,28.81
640,Starting_Pitcher,72,,27.77
641,Starting_Pitcher,72,180.0,24.09
642,Relief_Pitcher,77,230.0,26.47
643,Relief_Pitcher,73,195.0,30.5
644,Relief_Pitcher,75,215.0,23.74
645,Relief_Pitcher,75,190.0,24.49
646,Relief_Pitcher,75,195.0,26.73
647,Relief_Pitcher,73,215.0,27.01
648,Relief_Pitcher,73,215.0,39.75
649,Relief_Pitcher,76,220.0,27.16
650,Relief_Pitcher,77,220.0,25.74
651,Relief_Pitcher,75,230.0,37.43
652,Relief_Pitcher,70,195.0,39.85
653,Catcher,71,190.0,28.62
654,Catcher,71,195.0,23.9
655,Catcher,75,209.0,25.18
656,First_Baseman,74,204.0,33.53
657,Second_Baseman,69,170.0,33.03
658,Second_Baseman,70,185.0,31.35
659,Shortstop,75,205.0,22.39
660,Shortstop,72,175.0,27.99
661,Third_Baseman,75,210.0,27.22
662,Outfielder,73,190.0,27.49
663,Outfielder,72,180.0,27.53
664,Outfielder,72,180.0,26.26
665,Outfielder,72,160.0,25.18
666,Outfielder,76,235.0,27.12
667,Outfielder,75,200.0,27.69
668,Outfielder,74,210.0,25.69
669,Designated_Hitter,75,224.0,36.32
670,Starting_Pitcher,69,180.0,28.11
671,Starting_Pitcher,73,190.0,31.21
672,Starting_Pitcher,72,197.0,30.8
673,Starting_Pitcher,72,203.0,30.21
674,Starting_Pitcher,75,205.0,28.06
675,Starting_Pitcher,77,170.0,26.52
676,Starting_Pitcher,76,200.0,23.1
677,Starting_Pitcher,80,250.0,25.02
678,Starting_Pitcher,77,200.0,26.14
679,Starting_Pitcher,76,220.0,25.38
680,Relief_Pitcher,79,200.0,27.6
681,Relief_Pitcher,71,190.0,25.5
682,Relief_Pitcher,75,170.0,24.24
683,Relief_Pitcher,73,190.0,23.32
684,Relief_Pitcher,76,220.0,31.56
685,Relief_Pitcher,77,215.0,34.19
686,Relief_Pitcher,73,206.0,36.78
